	NAME	1 731	2 731	1 735	2 735	1 1835	2 1835	1 1839	2 1839	1 1845	2 1845
YAL068C	YAL068C PAU8 Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	-1.52693222623828	-1.78488043460221	-1.00643444574964	-0.191452534252728	-0.0571482595534118	-0.479787772862588	-1.38274515568903	-0.56923230991774	-0.922397642801917	-1.20555800023086
YAL067C	YAL067C SEO1 Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	-1.04150539906803	-2.36984293532337	0.38588297702912	0.924024683167208	-2.86450318161102	-0.479787772862588	-0.605137577025478	-0.56923230991774	-1.09232264424423	-0.0680544764809238
YAL065C		0.399067192317948	0.717619905926973	1.548154405928	1.80854746574727	0.993477813516556	1.44621164569364	1.20221734503213	1.33765828569078	1.68903706928043	0.931945523519076
YAL064W-B		0.906027181037831	1.02247448745539	1.31549364913772	1.68301658366341	1.3054218198313	0.898723850391142	1.09530214111561	0.600692691524572	1.11713072138472	0.559976746132118
YAL064C-A	YAL064C-A TDA8 Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene	1.57740443357646	1.08958868331393	1.51712751030737	1.83829480914132	2.36431550888486	2.05626512737762	0.45375611202809	-0.984269809196584	2.46226620743341	2.20043435944498
YAL063C	YAL063C FLO9 Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	3.79499586864909	3.72818914763716	4.08632269517021	3.73137960522481	3.84974233605511	3.84933582342898	3.71076673023411	3.89837324016526	3.74056736992051	3.89877865958388
YAL062W	YAL062W GDH3 NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	2.76584952298957	2.46304707884138	2.85154654937793	2.77817381670375	2.77935300816371	3.05626512737762	3.19360421472742	3.33765828569078	2.71503227781337	2.64243890632409
YAL061W	YAL061W BDH2 Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	2.43654189773661	1.83961043030558	2.66599089622185	2.89601030699761	2.70535242671993	2.79819697443718	3.07668646294827	3.13120740822335	2.43123931181278	2.40325124244466
YAL060W	YAL060W BDH1 NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	5.47306777376173	5.36486668490247	5.82961590930843	6.06436288862117	5.00277555809865	5.12012506932454	6.91121907667664	6.53929214686043	5.83841469331866	5.76943011176107
YAL059W	YAL059W ECM1 Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	4.47756916599667	4.36486668490247	4.8484339375106	4.28428089671367	4.21764585974286	4.0991509402308	3.66788091738094	3.73454843825936	4.18844812588637	4.42088113646646
